Name,Category,Phone,City,State,License Number,Why Kept
Darlington Auto Sales and Auto Body,Motor Vehicle Dealer (general),,Pawtucket,RI,254,State-licensed dealer - Sep 13 push
Detroit Motor Cars,Motor Vehicle Dealer (general),,North Providence,RI,707,State-licensed dealer - Sep 13 push
Devaney Auto Sales And Service,Motor Vehicle Dealer (general),,East Providence,RI,489,State-licensed dealer - Sep 13 push
"Dick Shappy Vintage Auto Sales, LLC",Motor Vehicle Dealer (general),,Providence,RI,116,State-licensed dealer - Sep 13 push
"Dinola Auto Sales, Inc.",Motor Vehicle Dealer (general),,Oakland,RI,627,State-licensed dealer - Sep 13 push
Distinctive Motor Cars Unlimited,Motor Vehicle Dealer (general),,Johnston,RI,272,State-licensed dealer - Sep 13 push
"Division Street Auto Sales & Service, Inc.",Motor Vehicle Dealer (general),,Pawtucket,RI,239,State-licensed dealer - Sep 13 push
Donald’s Car Corner,Motor Vehicle Dealer (general),,Providence,RI,119,State-licensed dealer - Sep 13 push
"Dorman’s Auto Center, Inc. ""Annex""",Motor Vehicle Dealer (general),,Pawtucket,RI,145,State-licensed dealer - Sep 13 push
"Dorman’s Auto Center, Inc. ""Main""",Motor Vehicle Dealer (general),,Pawtucket,RI,685,State-licensed dealer - Sep 13 push
Dunn's Corners Auto Sales & Repair,Motor Vehicle Dealer (general),,Westerly,RI,381,State-licensed dealer - Sep 13 push
Durand’s Kawasaki Motorsports Sales,Motor Vehicle Dealer (general),,Tiverton,RI,138,State-licensed dealer - Sep 13 push
Dyer Avenue Motors,Motor Vehicle Dealer (general),,Cranston,RI,123,State-licensed dealer - Sep 13 push
"East Coast Motor Sports and Motors Sales,",Motor Vehicle Dealer (general),,West Warwick,RI,229,State-licensed dealer - Sep 13 push
"Ed’s Auto Sales, Inc",Motor Vehicle Dealer (general),,East Providence,RI,227,State-licensed dealer - Sep 13 push
Electra Auto Sales & Service,Motor Vehicle Dealer (general),,Johnston,RI,186,State-licensed dealer - Sep 13 push
Elmwood Auto Sales,Motor Vehicle Dealer (general),,Providence,RI,28,State-licensed dealer - Sep 13 push
Elmwood Chrysler Dodge Jeep Ram,Motor Vehicle Dealer (general),,East Providence,RI,17,State-licensed dealer - Sep 13 push
Enterprise Car Sales,Motor Vehicle Dealer (general),,Warwick,RI,350,State-licensed dealer - Sep 13 push
Epautosales,Motor Vehicle Dealer (general),,East Providence,RI,750,State-licensed dealer - Sep 13 push
Executive Auto Sales 296,Motor Vehicle Dealer (general),,Smithfield,RI,176,State-licensed dealer - Sep 13 push
Evenge Carts,Motor Vehicle Dealer (general),,East Greenwich,RI,441,State-licensed dealer - Sep 13 push
